attempt,id,name,rarity,motion,difficulty,motionSpeed,restlessness,progressRateMult,escapeRateMult,jitter,specialChance,mixChance,edited,tackle,barPixels,playerGain,playerLoss,rumorSpeed,barHeight,seed,trackPixels,blind,outcome,seconds,frames
1,abyssal_razorclam,Abyssal Ridge Clam,RARE,LUNGER,163.0,1.55,1.05,0.78,1.7,1.6,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,6713562483602447302,360,1,CAUGHT,11.11667,667
2,crab_weird,Adult Pyrcrab,UNCOMMON,SINKER,69.0,1.43,1.45,0.902,1.653,0.7,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,4125158513833176508,360,1,CAUGHT,6.13336,368
3,slipstream_moray,Slipstream Moray,LEGENDARY,MIXED,200.0,2.0,1.05,0.82,1.769,0.4,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,9038778281650671438,360,1,LOST,3.46666,208
4,rock_bass,Sulfur Diver,COMMON,SMOOTH,46.0,0.94,0.7,0.85,1.071,1.0,0.2,0.1,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-8331997403979445638,360,1,CAUGHT,13.84996,831
5,quacken_catfish,Gargantuan Waller,UNCOMMON,SMOOTH,79.0,1.22,0.7,0.807,1.124,1.0,0.2,0.12,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-5413966055847819095,360,1,CAUGHT,26.91643,1615
6,bannerfish,Tiger Sailfish,COMMON,WEAVER,47.0,0.94,1.05,1.0,1.26,1.0,0.2,0.1,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-6836129888317726153,360,1,CAUGHT,5.70002,342
7,tuna_2,Ice Tuna,UNCOMMON,WEAVER,80.0,0.88,1.05,0.807,1.124,1.0,0.2,0.12,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-7621104009321401146,360,1,CAUGHT,8.15005,489
8,shad,Shad,COMMON,WEAVER,46.0,1.08,1.9,1.208,1.311,1.0,0.2,0.1,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-7756171980006376423,360,1,CAUGHT,3.76666,226
9,squid_cyan,Crystal Aberration,RARE,LUNGER,125.0,1.77,1.05,0.9,1.438,0.45,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-3827881655096970617,360,1,CAUGHT,33.61633,2017
10,jellyfish_purple,Aetherial Jelly,COMMON,FLOATER,31.0,0.94,1.45,1.092,1.811,0.4,0.3,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,8073274615172688377,360,1,CAUGHT,13.93329,836
11,false_dawn,False Dawn,LEGENDARY,MIXED,194.0,2.02,1.45,0.82,1.769,0.3,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,2205936924320446952,360,1,CAUGHT,11.48333,689
12,miscount,Relic Crab,EPIC,MIXED,145.0,1.4,1.05,0.722,1.369,0.6,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,1152783930816701520,360,1,LOST,53.74935,3225
13,pufferfish,Pufferfish,COMMON,SMOOTH,42.0,0.94,1.05,1.05,1.14,1.0,0.2,0.1,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-6410430882886379931,360,1,LOST,3.35000,201
14,abyssal_jack,Abyssal Gazer,COMMON,MIXED,137.0,1.67,0.7,0.85,1.4,2.8,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-4515917426771868363,360,1,CAUGHT,7.20004,432
15,hull_grazer,Hull Grazer,RARE,SINKER,102.0,1.31,1.05,0.727,1.528,0.3,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,5292249816412186372,360,1,LOST,10.25002,615
16,abyssal_ghost_manta,Abyssal Ghost Manta,LEGENDARY,MIXED,199.0,1.6,0.7,0.82,1.885,2.5,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-5724594122658946029,360,1,LOST,10.40001,624
